model_type,data_profile,median_cv_mse,std_cv_mse,cv_cv_mse,median_test_mse,std_test_mse,cv_test_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,Mackey_Glass_(tau=17),0.0386703640518286,0.001679422018828289,0.04342917528724104,0.03759916997481277,1.355871555195335e-17,3.6061209758183946e-16,0.1,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.00030433029317797176,7.662983725182524e-05,0.2517982565968622,0.00029062064661741126,5.560411969437923e-05,0.19132886923749606,0.1,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),4.204939287523333e-05,4.5109059098678606e-05,1.0727636242578757,4.116113543881278e-05,3.653135572298103e-05,0.8875206024694327,0.1,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),8.160668176022766e-06,7.615189351681362e-06,0.9331575782061449,6.830217203163082e-06,5.964469157376178e-06,0.8732473624138959,0.1,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),7.678854430315039e-06,8.839463115887258e-06,1.1511434675711911,5.673057175540849e-06,7.189452655707384e-06,1.2672977608447895,0.1,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),7.578420625690047e-06,9.509381597091311e-06,1.254797281224469,5.19717567616944e-06,7.414210926127839e-06,1.4265846275168548,0.1,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.011016106628073747,0.00026241022783196887,0.023820596213478498,0.01081474473468581,2.86480153434677e-18,2.6489774882606126e-16,0.3,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.00021563728539198679,5.079498078288352e-05,0.23555750430890507,0.0002057732255963284,3.459921198763067e-05,0.16814243878115123,0.3,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),5.903872244072967e-05,5.633445413875267e-05,0.9541950064266402,4.660353613825722e-05,4.317909285283659e-05,0.9265196684804896,0.3,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.5932699169686474e-05,1.5550072841839824e-05,0.9759848394944509,1.2764815525319149e-05,1.2547742865644745e-05,0.9829944538372812,0.3,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.5214523417455266e-05,8.714745075185282e-06,0.572791196679027,1.1619566796163191e-05,6.495532316818195e-06,0.5590167370923875,0.3,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),7.160086051338217e-06,1.1842329528768477e-05,1.653936760516328,6.074170868451861e-06,9.183665048686347e-06,1.5119207621215651,0.3,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.004933648217318331,0.00013393444142111314,0.027147140517836267,0.004790640290946213,4.604524249466169e-18,9.611500696823798e-16,0.5,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.00012847754230855296,2.9069247814940622e-05,0.2262593702573141,0.00012209608655024736,2.0739680256349062e-05,0.16986359548726293,0.5,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),3.9452259712542766e-05,3.431586195968774e-05,0.8698072609711112,3.582153397129723e-05,2.5710412568834317e-05,0.7177362250716381,0.5,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.2414068208177227e-05,1.2039208136026707e-05,0.9698036078210367,9.62490082310136e-06,9.730735166842223e-06,1.0109958892757465,0.5,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.2430790751651317e-05,7.260750752141176e-06,0.5840940369120646,1.0337554327545498e-05,5.421748286222755e-06,0.5244710803382129,0.5,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),6.637563993571593e-06,1.2689440778126385e-05,1.9117617231888036,4.8695062309510745e-06,9.73115351576898e-06,1.9983860897264663,0.5,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.0028400055804658486,9.845037346608128e-05,0.034665556343707035,0.0027214993410129506,4.843407139349404e-18,1.7796833775997435e-15,0.7,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),7.875293956162266e-05,1.9643117720833635e-05,0.249427104945883,7.518950402749345e-05,1.4321882786256333e-05,0.19047715464407716,0.7,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),2.736198090901521e-05,2.226705224515902e-05,0.8137953286058498,2.755892331134291e-05,1.6525792260203685e-05,0.5996530442610534,0.7,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),9.11819603964368e-06,9.044007740656474e-06,0.9918637087133624,6.923572035759015e-06,7.299155221999071e-06,1.0542470251338811,0.7,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),9.43274929182387e-06,5.841549340201338e-06,0.6192838545242247,7.854341103500137e-06,4.3309859215113044e-06,0.5514130166286365,0.7,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),5.415319017372118e-06,1.1841015814367093e-05,2.186577702325866,3.6855033516716595e-06,9.003105652001159e-06,2.442842888181761,0.7,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.0018856841901531902,8.336873296973515e-05,0.04421139732998578,0.0017923633302347963,3.3991235395841477e-18,1.896447825195614e-15,0.9,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),5.1589310026404285e-05,1.5406559565650334e-05,0.29863860473739606,4.939867304816261e-05,1.1219030055458289e-05,0.22711197210742853,0.9,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.8993492969209127e-05,1.5787399131456015e-05,0.831200409374379,1.894468004110698e-05,1.1660226525988416e-05,0.6154881740249799,0.9,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),6.716403482025559e-06,7.1104965395219e-06,1.0586762034995387,5.39484362583696e-06,5.751573742903302e-06,1.0661242738080288,0.9,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),6.995167621644875e-06,4.892109227258746e-06,0.6993555396901832,5.578251917448201e-06,3.6048774728339793e-06,0.6462378404887544,0.9,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),4.062382507415616e-06,1.0542913266935289e-05,2.5952537083078426,2.7610738522774585e-06,7.986501038473412e-06,2.8925343782042576,0.9,1e-08,10,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),0.0015957956815881096,7.888995311426153e-05,0.04943612395024878,0.0015122903955894905,4.412050141330794e-18,2.917462250767636e-15,1.0,1e-08,1,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),4.292108387936054e-05,1.424425480531568e-05,0.3318708084202252,4.0955406789630474e-05,1.0329538566200592e-05,0.25221428318997763,1.0,1e-08,2,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),1.6021375320383047e-05,1.367527496228062e-05,0.8535643594144117,1.595896215969226e-05,1.0085825127840986e-05,0.6319850267779238,1.0,1e-08,4,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),5.939812457657707e-06,6.410679066835227e-06,1.0792729757941215,4.77060280547097e-06,5.195434425286149e-06,1.089051978783054,1.0,1e-08,6,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),6.03539314149564e-06,4.549491368495677e-06,0.7538019913261625,4.745886130156235e-06,3.3454434122773725e-06,0.7049143870140095,1.0,1e-08,8,2.0,0.0,2025,,,
QRC,Mackey_Glass_(tau=17),3.509836094083925e-06,9.912329098405263e-06,2.8241572633870824,2.3810647955110313e-06,7.503382463939684e-06,3.151271850344285,1.0,1e-08,10,2.0,0.0,2025,,,
Classical_ESN,Mackey_Glass_(tau=17),0.0003535166432340844,0.00011138741411479981,0.31508393238799676,0.0002393254853441682,8.347635922214404e-05,0.348798453712937,0.1,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),2.0890350079672416e-05,8.21544197302988e-06,0.39326492575268074,1.5492900395377492e-05,1.2809351942651972e-06,0.08267885041379217,0.1,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.8522293003320143e-06,1.5745388770202183e-06,0.8500777288956504,1.1039486009876358e-06,6.422657104563281e-07,0.5817895053100588,0.1,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),2.1884906848881233e-06,1.0446711079517896e-05,4.773477516561574,1.972653082151387e-06,2.850422601233025e-06,1.4449690252298888,0.1,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),2.666989414101814e-06,0.0008969370834981306,336.31070253055356,3.6913119426960252e-06,2.7633995161363927e-05,7.486225924645337,0.1,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),7.936881421592821e-06,0.00013107742078858578,16.5149778390264,2.070203065602421e-05,4.59665343869027e-05,2.220387707402347,0.1,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),6.3943438695018015e-06,2.1645647017398733e-06,0.3385124018844047,4.094494055818392e-06,1.2855475170807298e-06,0.31396980910350336,0.3,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.5596475332642004e-06,5.128725837431733e-07,0.32883877466197614,1.1202358738020033e-06,1.3876684420082204e-07,0.12387288020857334,0.3,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),3.0467386573135766e-07,1.0787896373664362e-07,0.3540801357467415,1.6971037970720472e-07,1.890560910017098e-08,0.11139925049244573,0.3,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),2.5451636224935963e-07,9.591741509434848e-08,0.37686148837996686,1.0869574855768974e-07,1.0721020397763498e-08,0.09863330019824434,0.3,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.797509780338973e-07,8.844381218654608e-08,0.4920352209147224,9.007182307767833e-08,1.4351242499823298e-08,0.15933109833301282,0.3,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.9171727017071327e-07,1.0644661678193922e-07,0.5552270626801362,8.6797485053439e-08,1.486422108146281e-08,0.1712517485075897,0.3,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.0893999459736587e-06,3.409747815383003e-07,0.31299320584558293,7.03875981590576e-07,2.0028379739185687e-07,0.28454415639992114,0.5,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),4.656954027877146e-07,1.3826177653873617e-07,0.29689315314491577,2.89992780965632e-07,4.3668152851870246e-08,0.15058358593087012,0.5,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.3161081984267822e-07,3.9092962274848665e-08,0.2970345623678864,8.904590668766415e-08,1.5747578592590597e-08,0.17684786621159942,0.5,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.1076444308170664e-07,3.7240912960221524e-08,0.33621721848725716,6.083353845892015e-08,8.8881659313287e-09,0.14610634456732655,0.5,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.1192986431698153e-07,4.586025909190215e-08,0.40972317237897715,5.4032531471105416e-08,6.494865865350532e-09,0.12020287942318128,0.5,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.0438379690927185e-07,3.7788660382790785e-08,0.36201653419099017,4.779540313055492e-08,6.998496062294366e-09,0.1464261331404134,0.5,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),3.3273880815078935e-07,1.0016163057731861e-07,0.30102178683025077,2.1069992841393955e-07,5.132860917218183e-08,0.24360999815501605,0.7,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.8087538973992925e-07,5.132510440886737e-08,0.2837594682320514,1.1701629825272504e-07,1.984145278920233e-08,0.1695614464435536,0.7,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),9.589995076023071e-08,2.8716619162232924e-08,0.29944352353246023,6.040170605381638e-08,1.0343060505019467e-08,0.17123788682068128,0.7,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),8.430232081051477e-08,2.8785817491895152e-08,0.34145937164169726,4.460533040471799e-08,7.601462072719724e-09,0.17041600193854192,0.7,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),7.541299273582795e-08,2.9512702912883848e-08,0.39134772195378825,4.086181100044982e-08,7.24147462118217e-09,0.17721864116846053,0.7,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),7.317106978203406e-08,2.614152567894306e-08,0.35726586691727824,3.643937374482477e-08,6.7475302007056945e-09,0.18517140958450196,0.7,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=17),1.4201908560247422e-07,4.5192169021001874e-08,0.3182119419322226,9.050506043645177e-08,2.264667420861861e-08,0.2502255023023823,0.9,1e-08,1,,,2025,100.0,0.9,0.1
